System.Boolean, ToString
System.String, ToString
System.Guid, ToString
System.Guid, Parse
System.String, Join
System.String, Equals
System.Text.StringBuilder, .ctor
System.Xml.XmlDocument, .ctor
System.Globalization.NumberFormatInfo, get_InvariantInfo
System.Globalization.NumberFormatInfo, GetFormat(System.Type)
System.Linq.ImmutableArrayExtensions, All
System.Linq.ImmutableArrayExtensions, Any
System.ValueType, .ctor
System.Int32, op_Addition
System.Int32, op_Subtraction
System.Int32, op_LessThan
System.Int32, op_Equality
System.Int32, op_GreaterThan
System.Int32, op_Modulus
System.Int32, op_Multiply
System.Int32, op_Division
System.Int32, op_LessThanOrEqual
System.Int32, op_GreaterThanOrEqual
System.Int32, op_Increment
System.Int32, op_Decrement
System.Int32, op_UnaryPlus
System.Int32, op_UnaryNegation
System.Int32, op_OnesComplement
System.Int32, op_Inequality
System.Int32, Equals
System.UInt32, op_Addition
System.UInt32, op_Subtraction
System.UInt32, op_LessThan
System.UInt32, op_Equality
System.UInt32, op_GreaterThan
System.UInt32, op_Modulus
System.UInt32, op_Multiply
System.UInt32, op_Division
System.UInt32, op_LessThanOrEqual
System.UInt32, op_GreaterThanOrEqual
System.UInt32, op_Increment
System.UInt32, op_Decrement
System.UInt32, op_UnaryPlus
System.UInt32, op_OnesComplement
System.UInt32, op_Inequality
System.UInt32, Equals
System.Int64, op_Addition
System.Int64, op_Subtraction
System.Int64, op_LessThan
System.Int64, op_Equality
System.Int64, op_GreaterThan
System.Int64, op_Modulus
System.Int64, op_Multiply
System.Int64, op_Division
System.Int64, op_LessThanOrEqual
System.Int64, op_GreaterThanOrEqual
System.Int64, op_Increment
System.Int64, op_Decrement
System.Int64, op_UnaryPlus
System.Int64, op_UnaryNegation
System.Int64, op_OnesComplement
System.Int64, op_Inequality
System.Int64, Equals
System.UInt64, op_Addition
System.UInt64, op_Subtraction
System.UInt64, op_LessThan
System.UInt64, op_Equality
System.UInt64, op_GreaterThan
System.UInt64, op_Modulus
System.UInt64, op_Multiply
System.UInt64, op_Division
System.UInt64, op_LessThanOrEqual
System.UInt64, op_GreaterThanOrEqual
System.UInt64, op_Increment
System.UInt64, op_Decrement
System.UInt64, op_UnaryPlus
System.UInt64, op_OnesComplement
System.UInt64, op_Inequality
System.UInt64, Equals
